canonical_name,canonical_address,overlay_space,overlay_offset_hex,overlay_name,match_kind
FUN_15dc_0032,15dc:0032,ram,5df2,FUN_0000_5df2,exact
FUN_15dc_006a,15dc:006a,ram,5e2a,FUN_0000_5e2a,exact
FUN_15dc_00a2,15dc:00a2,ram,5e62,FUN_0000_5e62,exact
FUN_15dc_00e0,15dc:00e0,ram,5ea0,FUN_0000_5ea0,exact
FUN_15eb_0002,15eb:0002,ram,5eb2,FUN_0000_5eb2,exact
FUN_15eb_002c,15eb:002c,ram,5edc,FUN_0000_5edc,exact
FUN_15eb_00a2,15eb:00a2,ram,5f52,FUN_0000_5f52,exact
FUN_15eb_0142,15eb:0142,ram,5ff2,FUN_0000_5ff2,exact
FUN_15eb_0218,15eb:0218,ram,60c8,FUN_0000_60c8,exact
FUN_15eb_022c,15eb:022c,ram,60dc,,gap
FUN_15eb_0242,15eb:0242,ram,60f2,,gap
FUN_15eb_0258,15eb:0258,ram,6108,,gap
FUN_15eb_0274,15eb:0274,ram,6124,FUN_0000_6124,exact
FUN_15eb_0302,15eb:0302,ram,61b2,FUN_0000_61b2,exact
FUN_15eb_0326,15eb:0326,ram,61d6,,gap
FUN_15eb_035e,15eb:035e,ram,620e,FUN_0000_620e,exact
FUN_15eb_038e,15eb:038e,ram,623e,FUN_0000_623e,exact
FUN_15eb_039e,15eb:039e,ram,624e,FUN_0000_624e,exact
FUN_15eb_03d6,15eb:03d6,ram,6286,,gap
FUN_15eb_0410,15eb:0410,ram,62c0,FUN_0000_62c0,exact
FUN_15eb_0434,15eb:0434,ram,62e4,FUN_0000_62e4,exact
FUN_15eb_0470,15eb:0470,ram,6320,FUN_0000_6320,exact
FUN_15eb_0484,15eb:0484,ram,6334,FUN_0000_6334,exact
FUN_15eb_04c0,15eb:04c0,ram,6370,,gap
FUN_15eb_0544,15eb:0544,ram,63f4,FUN_0000_63f4,exact
FUN_15eb_0556,15eb:0556,ram,6406,FUN_0000_6406,exact
FUN_15eb_0596,15eb:0596,ram,6446,FUN_0000_6446,exact
FUN_15eb_05b2,15eb:05b2,ram,6462,,gap
FUN_15eb_05cc,15eb:05cc,ram,647c,,gap
FUN_15eb_05e2,15eb:05e2,ram,6492,FUN_0000_6492,exact
FUN_15eb_0620,15eb:0620,ram,64d0,FUN_0000_64d0,exact
FUN_15eb_0668,15eb:0668,ram,6518,FUN_0000_6518,exact
FUN_15eb_06a6,15eb:06a6,ram,6556,FUN_0000_6556,exact
FUN_15eb_06d2,15eb:06d2,ram,6582,FUN_0000_6582,exact
FUN_15eb_08e6,15eb:08e6,ram,6796,FUN_0000_6796,exact
FUN_15eb_0902,15eb:0902,ram,67b2,FUN_0000_67b2,exact
FUN_15eb_0916,15eb:0916,ram,67c6,FUN_0000_67c6,exact
FUN_15eb_0924,15eb:0924,ram,67d4,FUN_0000_67d4,exact
caseD_0,15eb:096e,ram,681e,,gap
FUN_15eb_09c0,15eb:09c0,ram,6870,FUN_0000_6870,exact
FUN_15eb_0a50,15eb:0a50,ram,6900,FUN_0000_6900,exact
FUN_15eb_0a76,15eb:0a76,ram,6926,FUN_0000_6926,exact
FUN_15eb_0aec,15eb:0aec,ram,699c,FUN_0000_699c,exact
FUN_15eb_0b0c,15eb:0b0c,ram,69bc,,gap
FUN_15eb_0b52,15eb:0b52,ram,6a02,FUN_0000_6a02,exact
FUN_15eb_0b96,15eb:0b96,ram,6a46,FUN_0000_6a46,exact
FUN_15eb_0bd4,15eb:0bd4,ram,6a84,FUN_0000_6a84,exact
FUN_15eb_0c52,15eb:0c52,ram,6b02,FUN_0000_6b02,exact
FUN_15eb_0c7a,15eb:0c7a,ram,6b2a,FUN_0000_6b2a,exact
FUN_15eb_0cbc,15eb:0cbc,ram,6b6c,FUN_0000_6b6c,exact
FUN_15eb_0d04,15eb:0d04,ram,6bb4,FUN_0000_6bb4,exact
FUN_15eb_0d8e,15eb:0d8e,ram,6c3e,FUN_0000_6c3e,exact
FUN_15eb_0e18,15eb:0e18,ram,6cc8,FUN_0000_6cc8,exact
FUN_15eb_0e52,15eb:0e52,ram,6d02,FUN_0000_6d02,exact
FUN_15eb_0e8c,15eb:0e8c,ram,6d3c,FUN_0000_6d3c,exact
FUN_15eb_0ed4,15eb:0ed4,ram,6d84,FUN_0000_6d84,exact
FUN_15eb_0f1c,15eb:0f1c,ram,6dcc,FUN_0000_6dcc,exact
FUN_15eb_0fea,15eb:0fea,ram,6e9a,FUN_0000_6e9a,exact
FUN_15eb_1030,15eb:1030,ram,6ee0,FUN_0000_6ee0,exact
FUN_15eb_1068,15eb:1068,ram,6f18,FUN_0000_6f18,exact
FUN_15eb_1376,15eb:1376,ram,7226,FUN_0000_7226,exact
FUN_15eb_13ac,15eb:13ac,ram,725c,,gap
FUN_15eb_13e2,15eb:13e2,ram,7292,,gap
FUN_15eb_142a,15eb:142a,ram,72da,FUN_0000_72da,exact
FUN_15eb_1476,15eb:1476,ram,7326,,gap
FUN_15eb_14aa,15eb:14aa,ram,735a,FUN_0000_735a,exact
FUN_15eb_14d6,15eb:14d6,ram,7386,FUN_0000_7386,exact
FUN_15eb_14e4,15eb:14e4,ram,7394,FUN_0000_7394,exact
FUN_15eb_1526,15eb:1526,ram,73d6,FUN_0000_73d6,exact
FUN_15eb_1568,15eb:1568,ram,7418,FUN_0000_7418,exact
FUN_15eb_15c6,15eb:15c6,ram,7476,FUN_0000_7476,exact
FUN_15eb_1604,15eb:1604,ram,74b4,FUN_0000_74b4,exact
FUN_15eb_1646,15eb:1646,ram,74f6,FUN_0000_74f6,exact
FUN_15eb_169c,15eb:169c,ram,754c,,gap
FUN_15eb_16c4,15eb:16c4,ram,7574,FUN_0000_7574,exact
FUN_15eb_16fe,15eb:16fe,ram,75ae,FUN_0000_75ae,exact
FUN_15eb_173e,15eb:173e,ram,75ee,FUN_0000_75ee,exact
FUN_15eb_1782,15eb:1782,ram,7632,FUN_0000_7632,exact
FUN_15eb_17ba,15eb:17ba,ram,766a,FUN_0000_766a,exact
FUN_15eb_17fa,15eb:17fa,ram,76aa,FUN_0000_76aa,exact
FUN_15eb_18ec,15eb:18ec,ram,779c,FUN_0000_779c,exact
FUN_15eb_1d4c,15eb:1d4c,ram,7bfc,FUN_0000_7bfc,exact
FUN_15eb_1f72,15eb:1f72,ram,7e22,FUN_0000_7e22,exact
FUN_15eb_23f2,15eb:23f2,ram,82a2,FUN_0000_82a2,exact
FUN_15eb_268e,15eb:268e,ram,853e,FUN_0000_853e,exact
FUN_15eb_26e4,15eb:26e4,ram,8594,FUN_0000_8594,exact
FUN_15eb_287e,15eb:287e,ram,872e,FUN_0000_872e,exact
FUN_15eb_28c8,15eb:28c8,ram,8778,FUN_0000_8778,exact
FUN_15eb_2ea0,15eb:2ea0,ram,8d50,FUN_0000_8d50,exact
FUN_15eb_2f3c,15eb:2f3c,ram,8dec,FUN_0000_8dec,exact
FUN_15eb_2f8e,15eb:2f8e,ram,8e3e,FUN_0000_8e3e,exact
FUN_15eb_2ff2,15eb:2ff2,ram,8ea2,FUN_0000_8ea2,exact
FUN_15eb_3040,15eb:3040,ram,8ef0,FUN_0000_8ef0,exact
FUN_15eb_3054,15eb:3054,ram,8f04,FUN_0000_8f04,exact
FUN_15eb_306a,15eb:306a,ram,8f1a,FUN_0000_8f1a,exact
FUN_15eb_30b8,15eb:30b8,ram,8f68,FUN_0000_8f68,exact
FUN_15eb_317c,15eb:317c,ram,902c,FUN_0000_902c,exact
FUN_15eb_3208,15eb:3208,ram,90b8,,gap
FUN_15eb_32a0,15eb:32a0,ram,9150,FUN_0000_9150,exact
FUN_15eb_32f8,15eb:32f8,ram,91a8,FUN_0000_91a8,exact
FUN_15eb_334a,15eb:334a,ram,91fa,FUN_0000_91fa,exact
FUN_15eb_33aa,15eb:33aa,ram,925a,,gap
FUN_15eb_3454,15eb:3454,ram,9304,FUN_0000_9304,exact
FUN_15eb_35d0,15eb:35d0,ram,9480,FUN_0000_9480,exact
FUN_15eb_3620,15eb:3620,ram,94d0,FUN_0000_94d0,exact
FUN_15eb_3650,15eb:3650,ram,9500,FUN_0000_9500,exact
FUN_15eb_38ba,15eb:38ba,ram,976a,FUN_0000_976a,exact
FUN_15eb_38e8,15eb:38e8,ram,9798,,gap
FUN_15eb_3930,15eb:3930,ram,97e0,FUN_0000_97e0,exact
FUN_15eb_394c,15eb:394c,ram,97fc,FUN_0000_97fc,exact
FUN_15eb_3956,15eb:3956,ram,9806,,gap
FUN_15eb_3960,15eb:3960,ram,9810,FUN_0000_9810,exact
FUN_1984_0040,1984:0040,ram,9880,FUN_0000_9880,exact
FUN_1984_006a,1984:006a,ram,98aa,,gap
FUN_1984_00aa,1984:00aa,ram,98ea,FUN_0000_98ea,exact
FUN_1984_00e8,1984:00e8,ram,9928,FUN_0000_9928,exact
FUN_1984_010a,1984:010a,ram,994a,FUN_0000_994a,exact
FUN_1984_029e,1984:029e,ram,9ade,FUN_0000_9ade,exact
FUN_1984_02fc,1984:02fc,ram,9b3c,FUN_0000_9b3c,exact
FUN_1984_03b2,1984:03b2,ram,9bf2,FUN_0000_9bf2,exact
FUN_1984_03ca,1984:03ca,ram,9c0a,,gap
FUN_1984_043a,1984:043a,ram,9c7a,FUN_0000_9c7a,exact
FUN_1984_045a,1984:045a,ram,9c9a,FUN_0000_9c9a,exact
FUN_1984_046e,1984:046e,ram,9cae,,gap
FUN_1984_0490,1984:0490,ram,9cd0,FUN_0000_9cd0,exact
FUN_1984_04f6,1984:04f6,ram,9d36,FUN_0000_9d36,exact
FUN_1984_053a,1984:053a,ram,9d7a,,gap
FUN_1984_05b8,1984:05b8,ram,9df8,,gap
FUN_1984_0636,1984:0636,ram,9e76,,gap
FUN_1984_06b4,1984:06b4,ram,9ef4,,gap
FUN_19ef_0008,19ef:0008,ram,9ef8,FUN_0000_9ef8,exact
FUN_19ef_001a,19ef:001a,ram,9f0a,FUN_0000_9f0a,exact
FUN_19ef_002c,19ef:002c,ram,9f1c,FUN_0000_9f1c,exact
FUN_19ef_0032,19ef:0032,ram,9f22,FUN_0000_9f22,exact
FUN_19f6_0002,19f6:0002,ram,9f62,FUN_0000_9f62,exact
FUN_19f6_00b0,19f6:00b0,ram,a010,FUN_0000_a010,exact
FUN_19f6_00fa,19f6:00fa,ram,a05a,,gap
FUN_19f6_0138,19f6:0138,ram,a098,FUN_0000_a098,exact
FUN_1a0a_0004,1a0a:0004,ram,a0a4,,gap
